GEO.id,Id
HC01_VC87,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino
,
,
,
HC01_VC88,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - White alone
,
,
,
HC01_VC89,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Black or African American alone
,
,
,
HC01_VC90,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - American Indian and Alaska Native alone
,
,
,
HC01_VC91,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Asian alone
,
,
,
HC01_VC92,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone
,
,
,
HC01_VC93,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Some other race alone
,
,
,
HC01_VC94,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races
,
,
,
HC01_VC95,Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races - Two races including Some other race
,
,
,
HC01_VC96,"Estimate; HISPANIC OR LATINO AND RACE - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
,
,
,
HC01_VC98,Estimate; HISPANIC OR LATINO AND RACE - Total housing units
